"season","Date","Visitor","G","Home","G","Var.7","Att.","LOG","Notes","playoffs"
1951,"1950-11-22","Montreal Canadiens","2","New York Rangers","3","","","","",0
1951,"1950-11-22","Chicago Black Hawks","2","Toronto Maple Leafs","5","","","","",0
1951,"1950-11-23","Boston Bruins","1","Chicago Black Hawks","4","","","","",0
1951,"1950-11-23","Toronto Maple Leafs","2","Detroit Red Wings","1","","","","",0
1951,"1950-11-25","New York Rangers","3","Boston Bruins","3","","","","",0
1951,"1950-11-25","Chicago Black Hawks","1","Detroit Red Wings","4","","","","",0
1951,"1950-11-25","Montreal Canadiens","1","Toronto Maple Leafs","4","","","","",0
1951,"1950-11-26","Montreal Canadiens","3","Boston Bruins","1","","","","",0
1951,"1950-11-26","Detroit Red Wings","0","Chicago Black Hawks","5","","","","",0
1951,"1950-11-26","Toronto Maple Leafs","3","New York Rangers","2","","","","",0
1951,"1950-11-29","Detroit Red Wings","3","Boston Bruins","6","","","","",0
1951,"1950-11-29","Chicago Black Hawks","1","New York Rangers","1","","","","",0
1951,"1950-11-30","Toronto Maple Leafs","0","Montreal Canadiens","0","","","","",0
1951,"1950-12-02","New York Rangers","3","Boston Bruins","2","","","","",0
1951,"1950-12-02","Detroit Red Wings","7","Montreal Canadiens","1","","","","",0
1951,"1950-12-02","Chicago Black Hawks","0","Toronto Maple Leafs","0","","","","",0
1951,"1950-12-03","Toronto Maple Leafs","3","Chicago Black Hawks","3","","","","",0
1951,"1950-12-03","Montreal Canadiens","4","Detroit Red Wings","1","","","","",0
1951,"1950-12-03","Boston Bruins","5","New York Rangers","3","","","","",0
1951,"1950-12-06","Chicago Black Hawks","4","Boston Bruins","5","","","","",0
1951,"1950-12-06","Detroit Red Wings","9","New York Rangers","0","","","","",0
1951,"1950-12-06","Montreal Canadiens","1","Toronto Maple Leafs","3","","","","",0
1951,"1950-12-07","Boston Bruins","3","Montreal Canadiens","0","","","","",0
1951,"1950-12-09","New York Rangers","0","Detroit Red Wings","5","","","","",0
1951,"1950-12-09","Chicago Black Hawks","5","Montreal Canadiens","0","","","","",0
1951,"1950-12-09","Boston Bruins","1","Toronto Maple Leafs","8","","","","",0
1951,"1950-12-10","Montreal Canadiens","2","Boston Bruins","5","","","","",0
1951,"1950-12-10","New York Rangers","3","Chicago Black Hawks","3","","","","",0
1951,"1950-12-10","Toronto Maple Leafs","2","Detroit Red Wings","3","","","","",0
1951,"1950-12-13","Montreal Canadiens","2","New York Rangers","3","","","","",0
1951,"1950-12-13","Detroit Red Wings","4","Toronto Maple Leafs","3","","","","",0
1951,"1950-12-14","Toronto Maple Leafs","7","Chicago Black Hawks","1","","","","",0
1951,"1950-12-14","Boston Bruins","2","Detroit Red Wings","4","","","","",0
1951,"1950-12-16","Detroit Red Wings","4","Boston Bruins","1","","","","",0
1951,"1950-12-16","New York Rangers","1","Montreal Canadiens","1","","","","",0
1951,"1950-12-16","Chicago Black Hawks","3","Toronto Maple Leafs","2","","","","",0
1951,"1950-12-17","Toronto Maple Leafs","4","Boston Bruins","2","","","","",0
1951,"1950-12-17","Montreal Canadiens","7","Chicago Black Hawks","3","","","","",0
1951,"1950-12-17","Detroit Red Wings","3","New York Rangers","3","","","","",0
1951,"1950-12-19","Chicago Black Hawks","1","Detroit Red Wings","6","","","","",0
1951,"1950-12-20","Boston Bruins","4","New York Rangers","4","","","","",0
1951,"1950-12-20","Montreal Canadiens","1","Toronto Maple Leafs","6","","","","",0
1951,"1950-12-21","Boston Bruins","3","Chicago Black Hawks","1","","","","",0
1951,"1950-12-23","Detroit Red Wings","4","Montreal Canadiens","4","","","","",0
1951,"1950-12-23","Boston Bruins","2","Toronto Maple Leafs","2","","","","",0
1951,"1950-12-24","Chicago Black Hawks","1","New York Rangers","6","","","","",0
1951,"1950-12-25","Chicago Black Hawks","4","Boston Bruins","7","","","","",0
1951,"1950-12-25","New York Rangers","1","Detroit Red Wings","4","","","","",0
1951,"1950-12-27","Chicago Black Hawks","4","Boston Bruins","4","","","","",0
1951,"1950-12-27","Toronto Maple Leafs","1","New York Rangers","3","","","","",0
1951,"1950-12-28","Montreal Canadiens","1","Detroit Red Wings","8","","","","",0
1951,"1950-12-30","Chicago Black Hawks","3","Montreal Canadiens","4","","","","",0
1951,"1950-12-30","Detroit Red Wings","3","Toronto Maple Leafs","1","","","","",0
1951,"1950-12-31","Toronto Maple Leafs","4","Detroit Red Wings","2","","","","",0
1951,"1950-12-31","Boston Bruins","0","New York Rangers","3","","","","",0
1951,"1951-01-01","New York Rangers","2","Boston Bruins","3","","","","",0
1951,"1951-01-01","Montreal Canadiens","3","Chicago Black Hawks","3","","","","",0
1951,"1951-01-03","Detroit Red Wings","3","New York Rangers","5","","","","",0
1951,"1951-01-04","Chicago Black Hawks","0","Detroit Red Wings","1","","","","",0
1951,"1951-01-04","Boston Bruins","4","Montreal Canadiens","2","","","","",0
1951,"1951-01-06","Detroit Red Wings","2","Montreal Canadiens","5","","","","",0
